Rank,BlessLevel,Exp,ExpDiff,SeasonScore
#角色境界,祝福等级,累计升级经验,本级经验差,得分 
Silver,1,886086 ,886086,100
Silver,2,1774633 ,888547,200
Silver,3,2701134 ,926501,300
Silver,4,3665220 ,964086,400
Silver,5,4677384 ,1012164,500
Silver,6,5731495 ,1054111,600
Silver,7,6828024 ,1096529,700
Silver,8,7963669 ,1135645,800
Silver,9,9138666 ,1174997,900
Silver,10,10353250 ,1214584,1000
Silver,11,11611783 ,1258533,1100
Silver,12,12915460 ,1303677,1200
Silver,13,14264034 ,1348574,1300
Silver,14,15657975 ,1393941,1400
Silver,15,17097755 ,1439780,1500
Silver,16,18583846 ,1486091,1600
Silver,17,20116718 ,1532872,1700
Silver,18,21696843 ,1580125,1800
Silver,19,23324692 ,1627849,1900
Silver,20,25000736 ,1676044,2000
Silver,21,26730753 ,1730017,2100
Silver,22,28514113 ,1783360,2200
Silver,23,30347309 ,1833196,2300
Silver,24,32180505 ,1833196,2400
Silver,25,34013701 ,1833196,2500
Silver,26,35846897 ,1833196,2600
Silver,27,37680093 ,1833196,2700
Silver,28,39513289 ,1833196,2800
Silver,29,41346485 ,1833196,2900
Silver,30,43179681 ,1833196,3000
Silver,31,45012877 ,1833196,3100
Silver,32,46846073 ,1833196,3200
Silver,33,48679269 ,1833196,3300
Silver,34,50512465 ,1833196,3400
Silver,35,52345661 ,1833196,3500
Silver,36,54178857 ,1833196,3600
Silver,37,56012053 ,1833196,3700
Silver,38,57845249 ,1833196,3800
Silver,39,59678445 ,1833196,3900
Silver,40,61511641 ,1833196,4000
Silver,41,63344837 ,1833196,4100
Silver,42,65178033 ,1833196,4200
Silver,43,67011229 ,1833196,4300
Silver,44,68844425 ,1833196,4400
Silver,45,70677621 ,1833196,4500
Silver,46,72510817 ,1833196,4600
Silver,47,74344013 ,1833196,4700
Silver,48,76177209 ,1833196,4800
Silver,49,78010405 ,1833196,4900
Silver,50,79843601 ,1833196,5000
Silver,51,81676797 ,1833196,5100
Silver,52,83509993 ,1833196,5200
Silver,53,85343189 ,1833196,5300
Silver,54,87176385 ,1833196,5400
Silver,55,89009581 ,1833196,5500
Silver,56,90842777 ,1833196,5600
Silver,57,92675973 ,1833196,5700
Silver,58,94509169 ,1833196,5800
Silver,59,96342365 ,1833196,5900
Silver,60,98175561 ,1833196,6000
Silver,61,100008757 ,1833196,6100
Silver,62,101841953 ,1833196,6200
Silver,63,103675149 ,1833196,6300
Silver,64,105508345 ,1833196,6400
