level,1,PlayerExpDiff
#等级,玩家等级累计经验,本级玩家经验差
0,0 ,0
1,0 ,0
2,80 ,80
3,170 ,90
4,260 ,90
5,350 ,90
6,440 ,90
7,530 ,90
8,620 ,90
9,710 ,90
10,810 ,100
11,1160 ,350
12,1515 ,355
13,1875 ,360
14,2245 ,370
15,2620 ,375
16,3010 ,390
17,3410 ,400
18,3860 ,450
19,4360 ,500
20,4860 ,500
21,6343 ,1483
22,8187 ,1844
23,10052 ,1865
24,11968 ,1916
25,14011 ,2043
26,16078 ,2067
27,18247 ,2169
28,20684 ,2437
29,23220 ,2536
30,26080 ,2860
31,29075 ,2995
32,32682 ,3607
33,36476 ,3794
34,40352 ,3876
35,44348 ,3996
36,48609 ,4261
37,52898 ,4289
38,57408 ,4510
39,62336 ,4928
40,67422 ,5086
41,84625 ,17203
42,103814 ,19189
43,125298 ,21484
44,146807 ,21509
45,169859 ,23052
46,194486 ,24627
47,219966 ,25480
48,246818 ,26852
49,275886 ,29068
50,307894 ,32008
51,341062 ,33168
52,374394 ,33332
53,408489 ,34095
54,444117 ,35628
55,480046 ,35929
56,517726 ,37680
57,556057 ,38331
58,594935 ,38878
59,633951 ,39016
60,675682 ,41731
61,718810 ,43128
62,763852 ,45042
63,809264 ,45412
64,856416 ,47152
65,903698 ,47282
66,951038 ,47340
67,1001525 ,50487
68,1054601 ,53076
69,1108858 ,54257
70,1163263 ,54405
71,1360377 ,197114
72,1670791 ,310414
73,2000995 ,330204
74,2335730 ,334735
75,2684521 ,348791
76,3044910 ,360389
77,3405611 ,360701
78,3768437 ,362826
79,4147069 ,378632
80,4526128 ,379059
81,4934893 ,408765
82,5375606 ,440713
83,5840276 ,464670
84,6307510 ,467234
85,6785480 ,477970
86,7270170 ,484690
87,7780044 ,509874
88,8293923 ,513879
89,8821506 ,527583
90,9353884 ,532378
91,9937685 ,583801
92,10550592 ,612907
93,11193781 ,643189
94,11838055 ,644274
95,12509012 ,670957
96,13187238 ,678226
97,13893916 ,706678
98,14606807 ,712891
99,15356614 ,749807
100,16108066 ,751452
101,19012464 ,2904398
102,22039991 ,3027527
103,25072002 ,3032011
104,28189885 ,3117883
105,31381740 ,3191855
106,34602253 ,3220513
107,37861016 ,3258763
108,41207674 ,3346658
109,44597532 ,3389858
110,48146285 ,3548753
111,51777979 ,3631694
112,55549803 ,3771824
113,59345970 ,3796167
114,63212594 ,3866624
115,67136998 ,3924404
116,71166346 ,4029348
117,75267911 ,4101565
118,79513345 ,4245434
119,83759031 ,4245686
120,88273912 ,4514881
121,92840289 ,4566377
122,97593177 ,4752888
123,102459625 ,4866448
124,107472002 ,5012377
125,112488343 ,5016341
126,117666962 ,5178619
127,122896525 ,5229563
128,128320406 ,5423881
129,133780134 ,5459728
130,140115452 ,6335318
131,162975107 ,22859655
132,186516292 ,23541185
133,210103448 ,23587156
134,234393958 ,24290510
135,258731818 ,24337860
136,283844325 ,25112507
137,309005602 ,25161277
138,334967691 ,25962089
139,361030247 ,26062556
140,387950561 ,26920314
141,415730710 ,27780149
142,444339151 ,28608441
143,473112291 ,28773140
144,502800060 ,29687769
145,532600923 ,29800863
146,563465429 ,30864506
147,594446421 ,30980992
148,626471711 ,32025290
149,658676973 ,32205262
150,691947671 ,33270698
151,726334947 ,34387276
152,761944097 ,35609150
153,797815441 ,35871344
154,834959080 ,37143639
155,872170234 ,37211154
156,910630413 ,38460179
157,949160132 ,38529719
158,988982606 ,39822474
159,1029019959 ,40037353
160,1072268042 ,43248083
161,1456665231 ,384397189
162,1852530436 ,395865205
163,2248881134 ,396350698
164,2658058570 ,409177436
165,3067236006 ,409177436
166,3489654985 ,422418979
167,3912589024 ,422934039
168,4349738719 ,437149695
169,4787949438 ,438210719
170,5241783287 ,453833849
171,5710180273 ,468396986
172,6194293348 ,484113075
173,6680145153 ,485851805
174,7182288853 ,502143700
175,7685626481 ,503337628
176,8205219433 ,519592952
177,8726042131 ,520822698
178,9264314916 ,538272785
179,9804487658 ,540172742
180,10362450669 ,557963011
181,10939228117 ,576777448
182,11534608128 ,595380011
183,12131372578 ,596764450
184,12748806707 ,617434129
185,13369092780 ,620286073
186,14010105363 ,641012583
187,14652586698 ,642481335
188,15315770087 ,663183389
189,15981222697 ,665452610
190,16725913668 ,744690971
191,19346537513 ,2620623845
192,22050339434 ,2703801921
193,24754141355 ,2703801921
194,27546333715 ,2792192360
195,30341093535 ,2794759820
196,33229848088 ,2888754553
197,36118602641 ,2888754553
198,39099041468 ,2980438827
199,42079480295 ,2980438827
200,45175645022 ,3096164727
201,48370393641 ,3194748619
202,51666299548 ,3295905907
203,54968159284 ,3301859736
204,58371502034 ,3403342750
205,61777911006 ,3406408972
206,65298506081 ,3520595075
207,68819101156 ,3520595075
208,72451180993 ,3632079837
209,76089766739 ,3638585746
210,79854022688 ,3764255949
211,83729316825 ,3875294137
212,87727125052 ,3997808227
213,91728486912 ,4001361860
214,95852697870 ,4124210958
215,99980569070 ,4127871200
216,104246504604 ,4265935534
217,108516210187 ,4269705583
218,113127843833 ,4611633646
219,117947105675 ,4819261842
220,123188303310 ,5241197635
221,142991946248 ,19803642938
222,163388100974 ,20396154726
223,183784255700 ,20396154726
224,204790697568 ,21006441868
225,225797139436 ,21006441868
226,247432177060 ,21635037624
227,269067214684 ,21635037624
228,291349705937 ,22282491253
229,313632197190 ,22282491253
230,336590440680 ,22958243490
231,360232201432 ,23641760752
